cohort,split,filename,expected,result,confidence,strict_correct,roi_count,ocr_token_count,elapsed_ms,reason
independent,train,no (12).jpg,正常,正常,0.459504222235671,True,4,34,935.4,存在局部边缘拼接/像素涂抹痕迹
independent,train,no (5).jpg,正常,正常,0.3613671426833862,True,3,25,904.8,存在局部边缘拼接/像素涂抹痕迹
independent,train,p (2).jpg,篡改,篡改,0.6887239601258356,True,3,25,891.1,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,test,11.jpg,正常,正常,0.44954427199556957,True,2,32,894.3,存在局部边缘拼接/像素涂抹痕迹
independent,test,21.jpg,正常,正常,0.3829523240379986,True,2,32,824.6,存在局部边缘拼接/像素涂抹痕迹
independent,test,8.jpg,正常,正常,0.44024547466755454,True,2,29,859.4,存在局部边缘拼接/像素涂抹痕迹
independent,train,p (16).jpg,篡改,篡改,0.720595976985448,True,2,27,783.6,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (20).jpg,篡改,篡改,0.7394408709716075,True,2,26,777.5,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (22).jpg,篡改,篡改,0.7167219877510776,True,2,27,803.8,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (26).jpg,篡改,篡改,0.7553229171776006,True,2,26,788.0,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (32).jpg,篡改,篡改,0.6729431178023689,True,2,26,707.4,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (9).jpg,篡改,篡改,0.7272026045274524,True,2,27,741.4,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,35.png,正常,正常,0.22221857964295336,True,4,51,1399.0,缺少EXIF且图像结构异常(疑似生成图)
independent,test,p (10).jpg,篡改,篡改,0.66,True,2,23,588.7,全局UI布局异常
independent,test,p (11).jpg,篡改,篡改,0.66,True,2,23,791.8,全局UI布局异常
independent,test,p (18).jpg,篡改,篡改,0.66,True,2,23,570.4,全局UI布局异常
independent,test,p (41).jpg,篡改,篡改,0.66,True,2,22,579.6,全局UI布局异常
independent,test,p (5).jpg,篡改,篡改,0.66,True,2,23,568.6,全局UI布局异常
independent,test,p (6).jpg,篡改,篡改,0.66,True,2,24,556.1,全局UI布局异常
independent,test,p (7).jpg,篡改,篡改,0.66,True,2,26,610.6,全局UI布局异常
independent,train,p (21).jpg,篡改,篡改,0.66,True,1,28,586.4,全局UI布局异常
independent,train,no (8).jpg,正常,正常,0.0642959241954623,True,2,54,1388.9,未检出明显篡改痕迹
independent,train,no (1).jpg,正常,正常,0.459504222235671,True,4,32,848.2,存在局部边缘拼接/像素涂抹痕迹
independent,validation,17.jpg,正常,正常,0.4488416095237629,True,3,26,810.6,存在局部边缘拼接/像素涂抹痕迹
independent,validation,19.jpg,正常,正常,0.457749923894121,True,3,26,850.5,存在局部边缘拼接/像素涂抹痕迹
independent,validation,20.jpg,正常,正常,0.4188098248478302,True,3,26,734.8,存在局部边缘拼接/像素涂抹痕迹
independent,validation,22.jpg,正常,正常,0.43239245903638845,True,3,26,744.1,存在局部边缘拼接/像素涂抹痕迹
independent,validation,23.jpg,正常,正常,0.4366999273046028,True,3,26,737.3,存在局部边缘拼接/像素涂抹痕迹
independent,test,p (1).jpg,篡改,篡改,0.66,True,3,17,470.0,全局UI布局异常；局部字体风格异常
independent,test,p (17).jpg,篡改,篡改,0.66,True,2,15,427.7,全局UI布局异常
independent,train,p (25).jpg,篡改,篡改,0.66,True,3,36,810.7,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (15).jpg,篡改,篡改,0.7000000000000001,True,6,26,680.4,全局UI布局异常；检测到多个高度重叠的疑似数字区域(疑似复制贴图)
independent,train,p (44).jpg,篡改,篡改,0.7938616571275597,True,6,39,1336.1,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (19).jpg,篡改,篡改,0.7977535080195571,True,5,31,864.2,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (23).jpg,篡改,篡改,0.7896318995560228,True,5,29,808.4,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (27).jpg,篡改,篡改,0.7655716554827932,True,5,30,959.2,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (28).jpg,篡改,篡改,0.7735442664907548,True,5,29,843.6,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (3).jpg,篡改,篡改,0.765526174238499,True,5,30,813.1,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (33).jpg,篡改,篡改,0.772546179879304,True,5,31,812.9,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (34).jpg,篡改,篡改,0.772546179879304,True,5,31,827.7,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (35).jpg,篡改,篡改,0.8169044340386018,True,5,32,799.7,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (36).jpg,篡改,篡改,0.7653828211298039,True,5,30,895.0,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (37).jpg,篡改,篡改,0.780248642717686,True,5,31,832.6,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (38).jpg,篡改,篡改,0.7655638322556577,True,5,31,889.7,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (39).jpg,篡改,篡改,0.7797871156430454,True,5,31,901.0,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (42).jpg,篡改,篡改,0.7654259097093026,True,5,32,874.3,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
independent,train,p (8).jpg,篡改,篡改,0.7881910071162677,True,5,29,825.3,全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹
training_replay,train,pptest__ebe78fef76ed__111.png,篡改,正常,0.07691552597875885,False,5,40,7178.3,文件体积/像素比异常(疑似工具导出)；局部字体风格异常
training_replay,train,pptest__21a9066bff6a__92e595cffb63d039f10b271f23b180dd.png,篡改,正常,0.16859454178817518,False,3,45,2172.9,缺少EXIF且图像结构异常(疑似生成图)
